Rating,Reviews,Number_Of_Pages,Type,Price
4.17,3829,105,1,9.323529412000001
4.01,1406,527,1,11.0
3.33,0,50,4,11.26764706
3.97,1658,393,1,12.87352941
4.06,1325,305,4,13.16470588
3.84,117,288,3,14.18823529
4.09,5938,256,1,14.23235294
4.15,1817,368,1,14.36470588
3.87,2093,259,1,14.50294118
4.62,0,128,3,14.64117647
4.03,160,352,1,15.22941176
3.78,481,352,1,15.22941176
3.73,33,200,3,15.32647059
3.87,1255,328,1,15.68235294
3.87,593,240,1,15.88529412
3.95,417,288,1,16.07352941
3.85,80,392,3,16.36764706
3.94,279,304,3,16.85294118
3.75,370,336,1,16.89117647
4.1,2092,542,1,17.22941176
4.22,27,192,3,17.49117647
3.71,676,242,1,17.62058824
4.21,16,224,3,18.93823529
4.28,1268,412,3,19.13235294
3.2,0,318,3,19.15294118
3.67,19,432,3,19.24705882
3.97,491,336,1,19.85588235
3.98,48,320,3,20.05294118
3.96,1,288,3,20.4
4.37,1,320,3,21.03823529
4.25,16,224,3,21.08823529
4.32,39,384,3,21.09705882
4.01,356,448,3,21.12647059
4.13,86,416,1,21.81470588
4.15,295,184,3,21.92352941
3.91,57,384,3,21.96764706
3.86,124,219,1,22.40882353
4.03,91,336,3,22.52058824
4.23,530,153,3,22.69411765
4.04,61,176,3,22.82647059
4.09,336,257,3,23.05
4.33,0,410,3,23.22647059
4.09,4,190,1,23.23529412
3.93,115,170,3,23.85
4.0,0,446,3,23.85882353
4.27,2629,345,1,24.25882353
3.84,108,558,3,24.51470588
4.2,120,140,3,24.72352941
4.06,38,343,4,24.83235294
3.65,154,258,3,25.28235294
4.08,9,293,1,25.30294118
4.15,19,336,3,25.30294118
4.01,1035,352,3,25.70294118
4.06,302,539,1,25.82352941
5.0,0,317,5,25.85588235
4.12,116,176,3,26.00882353
4.35,126,560,3,26.34411765
4.11,17,370,3,26.91764706
4.35,58,120,4,27.24411765
4.11,130,384,3,27.42941176
3.32,3,442,3,27.85
4.0,50,377,1,27.94117647
3.97,78,328,3,27.94117647
